"Lden";"%HA Road M&O 2001";"lower CI M&O Road";"upper CI M&O Road";"Regr WHO Road data";"Regr WHO Road ohne Alp";"Regr WHO Road ohne Alp+Asia";"Percentile 5";"Percentile 95";"Perc 5 ohne Alp";"Perc 95 ohne Alp"
40;0;0,407140628381319;0,930534325602539;NA;NA;NA;NA;NA;NA;NA
45;1,41914266058254;0,981573491996812;2,0153471300524;7,63;4,00000000000001;4,1;2,7;20,3;2,7;10,24
50;2,97660602787161;2,16098504230876;4,03268809726338;8,61;3,62;4,3;2,5;27,66;2,94;9,95
55;5,74515971767171;4,35432035476631;7,46380468659218;11,1;5;6,2;4,16;36,47;3,4;13,14
60;10,2252361261653;8,05227413840606;12,7961737261681;15,31;9,1;11,3;6,61;46,29;6,02;20,25
65;16,8248222770753;13,7108039031546;20,3604042580198;20,92;15,2;19;0,8;56,41;0,8;29,78
70;25,6749180076052;21,578539826581;30,1429437273576;27,1;23,9;29;4,04;66,03;2,89;41,71
75;36,4788069836385;31,5312886654392;41,6626014533476;37,5;34,7;41;10,4;57,1;10,36;56,05
80;48,4852328834146;43,0002017830946;53,9991223499202;48,1;48;56;27,33;74,96;27,33;72,8
